"produk_gambar","produk_url","produk_nama","produk_nama_url","produk_spesifikasi","produk_harga_name"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl5_6_1_1_1_1.jpg","https://pemmz.com/hp-14s-cf3076tu-i3-10051g1-ssd-256gb-silver-2.html","HP 14S - cf3076TU | i3-10051G1 | SSD 256GB |…","https://pemmz.com/hp-14s-cf3076tu-i3-10051g1-ssd-256gb-silver-2.html","14""HD, Core™ i3-1005G1, 4GB DDR4, 256GB SSD, INTEGRATED GRAPHICS,…","Rp 6,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl1_6_1_1_2_2.jpg","https://pemmz.com/hp-14s-fq0056au-athlon-3050u-ssd-512gb-gold-1.html","HP 14S - fq0056AU | Athlon-3050U | SSD 512GB |…","https://pemmz.com/hp-14s-fq0056au-athlon-3050u-ssd-512gb-gold-1.html","14""HD, Athlon Silver 3050U, RAM 4GB DDR4, SSD 512GB, AMD Radeon…","Rp 6,099,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl6_4_1_1_1.jpg","https://pemmz.com/hp-14s-cf2075tu-i3-1005g1-ssd-256gb-silver.html","HP 14S - cf2075TU | i3-1005G1 | SSD 256GB |…","https://pemmz.com/hp-14s-cf2075tu-i3-1005g1-ssd-256gb-silver.html","14""HD, Core™ i3-1005G1,4GB DDR4,256GB SSD,INTEGRATED GRAPHICS,WIN…","Rp 6,799,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl6_4_1_1_1.jpg","https://pemmz.com/hp-14s-cf2075tu-i3-1005g1-ssd-256gb-silver.html","HP 14S - cf2075TU | i3-1005G1 | SSD 256GB |…","https://pemmz.com/hp-14s-cf2075tu-i3-1005g1-ssd-256gb-silver.html","14""HD, Core™ i3-1005G1,4GB DDR4,256GB SSD,INTEGRATED GRAPHICS,WIN…","Rp 6,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/7/l/7lj56pa-1_t1562816136_1__1_1_1__1_3_1.png","https://pemmz.com/hp-pavilion-gaming-15-ec1077ax-r5-4600h-gtx1650-144hz.html","HP Pavilion Gaming 15 - ec1077AX | R5-4600H |…","https://pemmz.com/hp-pavilion-gaming-15-ec1077ax-r5-4600h-gtx1650-144hz.html","15.6""FHD 144Hz, Ryzen™ 5 4600H,2X8 DDR4,SSD 512GB,GeForce® GTX1650…","Rp 12,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/7/l/7lj56pa-1_t1562816136_1__1_1_1__1_3.png","https://pemmz.com/hp-pavilion-gaming-15-dk1141tx-i7-10750h-gtx1660ti-6gb-144hz.html","HP Pavilion Gaming 15 - dk1141TX | i7-10750H |…","https://pemmz.com/hp-pavilion-gaming-15-dk1141tx-i7-10750h-gtx1660ti-6gb-144hz.html","15.6"" FHD 144Hz, Intel Core i7-10750H, 8GB DDR4, SSD 512GB+32GB,…","Rp 15,899,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/7/l/7lj56pa-1_t1562816136_1__1_1_1__1_3.png","https://pemmz.com/hp-pavilion-gaming-15-dk1141tx-i7-10750h-gtx1660ti-6gb-144hz.html","HP Pavilion Gaming 15 - dk1141TX | i7-10750H |…","https://pemmz.com/hp-pavilion-gaming-15-dk1141tx-i7-10750h-gtx1660ti-6gb-144hz.html","15.6"" FHD 144Hz, Intel Core i7-10750H, 8GB DDR4, SSD 512GB+32GB,…","Rp 15,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/q/3/q3_3_5_4_1_2_2.jpg","https://pemmz.com/notebook/by-cpus/celeron/hp-14s-cf2019tu-celeron-n4020-256gb-ssd-silver.html","HP 14s - cf2019TU | Celeron N4020 | 256GB SSD |…","https://pemmz.com/notebook/by-cpus/celeron/hp-14s-cf2019tu-celeron-n4020-256gb-ssd-silver.html","14"" HD, Celeron N4020, 4GB DDR4, 256GB SDD, Integrated Graphic, Win…","Rp 5,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/t/r/tr1_3_1.jpg","https://pemmz.com/hp-pavilion-gaming-15-ec1076ax-r7-4800h-gtx1660ti-60hz-almost-100-srgb.html","HP Pavilion Gaming 15 - EC1076AX | R7-4800H |…","https://pemmz.com/hp-pavilion-gaming-15-ec1076ax-r7-4800h-gtx1660ti-60hz-almost-100-srgb.html","15.6"" FHD 60Hz 72% NTSC, AMD Ryzen 7 4800H, RAM 16GB DDR4, SSD 512GB,…","Rp 16,399,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/t/r/tr1_3_1.jpg","https://pemmz.com/hp-pavilion-gaming-15-ec1076ax-r7-4800h-gtx1660ti-60hz-almost-100-srgb.html","HP Pavilion Gaming 15 - EC1076AX | R7-4800H |…","https://pemmz.com/hp-pavilion-gaming-15-ec1076ax-r7-4800h-gtx1660ti-60hz-almost-100-srgb.html","15.6"" FHD 60Hz 72% NTSC, AMD Ryzen 7 4800H, RAM 16GB DDR4, SSD 512GB,…","Rp 16,499,000"
