"produk_gambar","produk_url","produk_nama","produk_nama_url","produk_spesifikasi","produk_spesifikasi_url","produk_harga","produk_harga_url"
"https://p.ipricegroup.com/uploaded_839ab5399f7eecdbab29c636978601b6.jpg?position=24","https://iprice.co.id/r/pc/?_id=bbe16e80f81dcd495c4296c953d211fd1c803760&position=24&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS X45U","https://iprice.co.id/r/pc/?_id=bbe16e80f81dcd495c4296c953d211fd1c803760&position=24&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 14"" Sistem Operasi: Windows 7 Daya Tahan Baterai: 5h","https://iprice.co.id/r/pc/?_id=bbe16e80f81dcd495c4296c953d211fd1c803760&position=24&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 3.000.000","https://iprice.co.id/r/pc/?_id=bbe16e80f81dcd495c4296c953d211fd1c803760&position=24&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_a77a6007b8b7dfdd833b28168931c64c.jpg?position=25","https://iprice.co.id/r/pc/?_id=ebf2d6447418dc4d9c93c1c8a2b0ed338ad5cbd2&position=25&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS X455LA","https://iprice.co.id/r/pc/?_id=ebf2d6447418dc4d9c93c1c8a2b0ed338ad5cbd2&position=25&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 14"" Sistem Operasi: Windows 10 Daya Tahan Baterai: 6h","https://iprice.co.id/r/pc/?_id=ebf2d6447418dc4d9c93c1c8a2b0ed338ad5cbd2&position=25&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 4.799.000","https://iprice.co.id/r/pc/?_id=ebf2d6447418dc4d9c93c1c8a2b0ed338ad5cbd2&position=25&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_3b9ae4b6fef8bb43457ed19e04d894c6.jpg?position=26","https://iprice.co.id/r/pc/?_id=179d3268ff43935b9b74dcda9f6ebedb802f23f0&position=26&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS A455LF","https://iprice.co.id/r/pc/?_id=179d3268ff43935b9b74dcda9f6ebedb802f23f0&position=26&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 14"" Sistem Operasi: FreeDOS Backlit Keyboard: Tidak","https://iprice.co.id/r/pc/?_id=179d3268ff43935b9b74dcda9f6ebedb802f23f0&position=26&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 5.899.000","https://iprice.co.id/r/pc/?_id=179d3268ff43935b9b74dcda9f6ebedb802f23f0&position=26&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_d1436e030cc3e1f6b052bad079fe3dae.jpg?position=27","https://iprice.co.id/r/pc/?_id=be0d9d66554c9fd4d56550d792e1652a85fd710f&position=27&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS ROG Strix SCAR III","https://iprice.co.id/r/pc/?_id=be0d9d66554c9fd4d56550d792e1652a85fd710f&position=27&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 15.6"" Sistem Operasi: Windows 10 Daya Tahan Baterai: 5h","https://iprice.co.id/r/pc/?_id=be0d9d66554c9fd4d56550d792e1652a85fd710f&position=27&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 23.640.000","https://iprice.co.id/r/pc/?_id=be0d9d66554c9fd4d56550d792e1652a85fd710f&position=27&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_547da6f4205163ecd87c85c131642bba.jpg?position=28","https://iprice.co.id/r/pc/?_id=975c683fb2acf95aa45f1c884001ff98194a2bcb&position=28&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS EeeBook E202SA","https://iprice.co.id/r/pc/?_id=975c683fb2acf95aa45f1c884001ff98194a2bcb&position=28&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 11.6"" Sistem Operasi: DOS Daya Tahan Baterai: 10h","https://iprice.co.id/r/pc/?_id=975c683fb2acf95aa45f1c884001ff98194a2bcb&position=28&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 2.991.000","https://iprice.co.id/r/pc/?_id=975c683fb2acf95aa45f1c884001ff98194a2bcb&position=28&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_9afbf318288d742a6d0d01c45b770118.jpg?position=29","https://iprice.co.id/r/pc/?_id=23e49304cf2d44ecbe454d2df85690856399d5d6&position=29&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS A456UR","https://iprice.co.id/r/pc/?_id=23e49304cf2d44ecbe454d2df85690856399d5d6&position=29&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 14"" Sistem Operasi: Windows 10 Home Backlit Keyboard: Tidak","https://iprice.co.id/r/pc/?_id=23e49304cf2d44ecbe454d2df85690856399d5d6&position=29&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 4.950.000","https://iprice.co.id/r/pc/?_id=23e49304cf2d44ecbe454d2df85690856399d5d6&position=29&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_5666fa824e0f0d4de46293c9b450415c.jpg?position=30","https://iprice.co.id/r/pc/?_id=cd8966732ad9b939de32d2001c06670cd4930ccd&position=30&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Asus VivoBook X441MA Intel Pentium Rose Gold 1TB","https://iprice.co.id/r/pc/?_id=cd8966732ad9b939de32d2001c06670cd4930ccd&position=30&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 14"" Sistem Operasi: Windows 10 Daya Tahan Baterai: 8h","https://iprice.co.id/r/pc/?_id=cd8966732ad9b939de32d2001c06670cd4930ccd&position=30&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 3.940.000","https://iprice.co.id/r/pc/?_id=cd8966732ad9b939de32d2001c06670cd4930ccd&position=30&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_6b22a890262537170c638951438f4234.jpg?position=31","https://iprice.co.id/r/pc/?_id=d9e0b39663e3c443d1b78f67f58c8a1b5efe67e6&position=31&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS N43SL","https://iprice.co.id/r/pc/?_id=d9e0b39663e3c443d1b78f67f58c8a1b5efe67e6&position=31&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 14"" Sistem Operasi: Windows 7 Backlit Keyboard: Ya","https://iprice.co.id/r/pc/?_id=d9e0b39663e3c443d1b78f67f58c8a1b5efe67e6&position=31&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 4.400.000","https://iprice.co.id/r/pc/?_id=d9e0b39663e3c443d1b78f67f58c8a1b5efe67e6&position=31&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_9cde11bb96abded115e179ff7fa72e42.jpg?position=32","https://iprice.co.id/r/pc/?_id=c75c95cf3452759f85cb43014d897ddb12adc1d4&position=32&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Asus ROG Zephyrus S (GX701)","https://iprice.co.id/r/pc/?_id=c75c95cf3452759f85cb43014d897ddb12adc1d4&position=32&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 17.3"" Sistem Operasi: Windows 10 Backlit Keyboard: Ya","https://iprice.co.id/r/pc/?_id=c75c95cf3452759f85cb43014d897ddb12adc1d4&position=32&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 31.699.000","https://iprice.co.id/r/pc/?_id=c75c95cf3452759f85cb43014d897ddb12adc1d4&position=32&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_1dd1f3339f5a8b07b47d1ce4d8d92ca5.jpg?position=33","https://iprice.co.id/r/pc/?_id=63cffa85ece67359085a63136c9821e825f8ad7b&position=33&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS A9","https://iprice.co.id/r/pc/?_id=63cffa85ece67359085a63136c9821e825f8ad7b&position=33&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","","","Rp 4.499.000","https://iprice.co.id/r/pc/?_id=63cffa85ece67359085a63136c9821e825f8ad7b&position=33&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_ab94529756c59d61b75c0f5093427a7e.jpg?position=34","https://iprice.co.id/r/pc/?_id=e55a18adb8a11a7ca5ec8c5fa5812885c33e7da0&position=34&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS Laptop M409DA","https://iprice.co.id/r/pc/?_id=e55a18adb8a11a7ca5ec8c5fa5812885c33e7da0&position=34&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 14"" Sistem Operasi: Windows 10 Pro Daya Tahan Baterai: 24h","https://iprice.co.id/r/pc/?_id=e55a18adb8a11a7ca5ec8c5fa5812885c33e7da0&position=34&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 4.749.000","https://iprice.co.id/r/pc/?_id=e55a18adb8a11a7ca5ec8c5fa5812885c33e7da0&position=34&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
"https://p.ipricegroup.com/uploaded_f414f13a230c86bafd84f43c0fed9e75.jpg?position=35","https://iprice.co.id/r/pc/?_id=073cacab752f3131eb1b64c3676533d7c9339e9a&position=35&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","ASUS VivoBook 14 X420UA","https://iprice.co.id/r/pc/?_id=073cacab752f3131eb1b64c3676533d7c9339e9a&position=35&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Ukuran Layar: 14"" Sistem Operasi: Windows 10 Backlit Keyboard: Ya","https://iprice.co.id/r/pc/?_id=073cacab752f3131eb1b64c3676533d7c9339e9a&position=35&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F","Rp 4.995.000","https://iprice.co.id/r/pc/?_id=073cacab752f3131eb1b64c3676533d7c9339e9a&position=35&sub_product=discovery-brand-category&_exit=%2Fasus%2Fkomputer%2F"
